name,position,college,conference,height,weight,forty,bench,vertical,broad_jump,cone,shuttle,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_college,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_college,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_college,Y3_college,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS
Elijah Sarratt,Wide Receiver,Indiana,Big Ten,74.0,210,,,,,,,2,0,0,0,0,0,0,Indiana,,,,,,,,,49.0,64.0,15.0,806.0,12.6,,,,,,,,,,,Indiana,,,,84.0,53.0,8.0,957.0,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Fields,Wide Receiver,Notre Dame,FBS Independents,76.0,218,4.61,,38.0,124.0,6.98,4.35,4,0,0,0,0,0,0,Notre Dame,1.0,1.0,0.0,,,,,,66.0,36.0,5.0,630.0,17.5,,,,,,,,,,,Virginia,2.0,1.0,0.0,45.0,55.0,5.0,808.0,14.7,,,,,,,,,,,,,,,,,,,,,39.0,58.0,5.0,811.0,14.0,1.0,0.0,0.0,-6.0,-6.0,,,,,,,,,Virginia,Virginia,,,,,,15.0,5.0,1.0,58.0,11.6,,,,,,,,,,,,,
Antonio Williams,Wide Receiver,Clemson,ACC,71.0,187,4.41,10.0,39.5,124.0,7.0,,3,0,0,0,0,0,0,Clemson,,,,13.0,24.0,1.0,78.0,6.0,64.0,55.0,4.0,604.0,11.0,8.8,30.0,5.0,0.0,44.0,,,,,,Clemson,1.0,1.0,0.0,57.0,74.0,11.0,902.0,12.2,7.0,36.0,1.0,101.0,14.4,,,,,,9.6,25.0,17.0,0.0,164.0,,,,,,33.0,21.0,2.0,208.0,9.9,,,,,,,,,4.7,11.0,3.0,0.0,14.0,Clemson,,,,,,,,,,,,,,,,,,,,,,,,
Deion Burks,Wide Receiver,Oklahoma,SEC,70.0,180,4.3,26.0,42.5,131.0,,,4,0,0,0,0,0,0,Oklahoma,,,,6.0,12.0,0.0,-3.0,-0.5,45.0,57.0,4.0,620.0,10.9,,,,,,,,,,,Oklahoma,1.0,1.0,0.0,20.0,31.0,3.0,245.0,7.9,5.0,11.0,0.0,32.0,6.4,,,,,,,,,,,,,,,,84.0,47.0,7.0,629.0,13.4,4.0,10.0,0.0,12.0,3.0,,,,,,,,,Purdue,Purdue,19.9,37.0,14.0,0.0,278.0,30.0,15.0,0.0,149.0,9.9,1.0,4.0,0.0,4.0,4.0,,,,,,,,
Ja'Kobi Lane,Wide Receiver,USC,Pac-12,76.0,200,4.47,,40.0,129.0,,,2,0,0,0,0,0,0,USC,,,,,,,,,59.0,49.0,4.0,745.0,15.2,,,,,,,,,,,USC,,,,33.0,43.0,12.0,525.0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyler Bell,Wide Receiver,Connecticut,,72.0,192,4.4,,41.0,133.0,,,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,38.0,1.0,297.0,7.8,,,,,,,,,,,,,,Wisconsin,Wisconsin,,,,,,49.0,30.0,5.0,444.0,14.8,13.0,44.0,0.0,160.0,12.3,1.0,0.0,0.0,,,,,
Eric Rivers,Wide Receiver,Georgia Tech,ACC,70.0,176,4.35,,37.0,127.0,,,1,0,0,0,0,0,0,Georgia Tech,,,,7.0,27.0,0.0,56.0,8.0,68.0,47.0,2.0,671.0,14.3,10.6,42.0,9.0,0.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Daniels,Wide Receiver,Miami (FL),,74.0,202,,,,,,,2,0,0,0,0,0,0,Miami,,,,,,,,,47.0,50.0,7.0,557.0,11.1,,,,,,,,,,,LSU,,,,34.0,42.0,0.0,480.0,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenen Thompson,Wide Receiver,Mississippi State,SEC,69.0,164,4.26,,,,,,4,0,0,0,0,0,0,Mississippi State,,,,4.0,10.0,1.0,14.0,3.5,58.0,57.0,6.0,1054.0,18.5,44.0,44.0,1.0,0.0,44.0,,,,,,Oklahoma,,,,54.0,19.0,2.0,230.0,12.1,,,,,,,,,,,,,,,,,,,,,63.0,7.0,2.0,241.0,34.4,,,,,,,,,,,,,,Oklahoma,Texas,,,,,,32.0,1.0,0.0,32.0,32.0,,,,,,,,,,,,,
Kevin Coleman Jr.,Wide Receiver,Missouri,SEC,70.0,179,,,,,,,3,0,0,0,0,0,0,Missouri,,,,9.0,34.0,0.0,76.0,8.4,50.0,66.0,1.0,732.0,11.1,12.6,67.0,15.0,1.0,189.0,,,,,,Mississippi State,1.0,1.0,0.0,80.0,69.0,5.0,844.0,12.2,4.0,9.0,0.0,11.0,2.8,,,,,,3.3,15.0,11.0,0.0,36.0,22.0,29.0,4.0,0.0,88.0,58.0,24.0,2.0,332.0,13.8,6.0,11.0,0.0,25.0,4.2,3.0,0.0,0.0,4.5,26.0,26.0,0.0,117.0,Louisville,,,,,,,,,,,,,,,,,,,,,,,,
De'Zhaun Stribling,Wide Receiver,Ole Miss,SEC,74.0,207,,,,,,,3,0,0,0,0,0,0,Ole Miss,,,,,,,,,75.0,55.0,6.0,811.0,14.7,,,,,,,,,,,Oklahoma State,,,,77.0,52.0,6.0,892.0,17.2,,,,,,,,,,,,,,,,,,,,,30.0,15.0,1.0,201.0,13.4,,,,,,,,,,,,,,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Caldwell,Wide Receiver,Cincinnati,Big 12,77.0,216,4.31,,42.0,134.0,,,1,0,0,0,0,0,0,Cincinnati,,,,,,,,,40.0,32.0,6.0,478.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Roberts,Wide Receiver,BYU,FBS Independents,75.0,209,4.64,,37.0,126.0,,,3,0,0,0,0,0,0,BYU,,,,,,,,,85.0,54.0,6.0,802.0,14.9,,,,,,,,,,,BYU,,,,62.0,50.0,3.0,803.0,16.1,6.0,7.0,1.0,23.0,3.8,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,59.0,42.0,5.0,573.0,13.6,2.0,11.0,0.0,12.0,6.0,1.0,1.0,0.0,,,,,,BYU,,,,,,,,,,,,,,,,,,,,,,,,
Josh Cameron,Wide Receiver,Baylor,Big 12,73.0,220,,,,,,,4,0,0,0,0,0,0,Baylor,4.0,3.0,0.0,,,,,,48.0,69.0,9.0,872.0,12.6,7.8,31.0,18.0,0.0,141.0,,,,,,Baylor,,,,47.0,52.0,10.0,754.0,14.5,,,,,,8.0,8.0,1.0,0.0,8.0,20.7,73.0,14.0,0.0,290.0,,,,,,24.0,21.0,0.0,224.0,10.7,2.0,2.0,0.0,1.0,0.5,2.0,1.0,0.0,15.5,70.0,13.0,0.0,201.0,Baylor,Baylor,,,,,,42.0,28.0,0.0,386.0,13.8,1.0,1.0,0.0,1.0,1.0,,,,,,,,
Aaron Anderson,Wide Receiver,LSU,SEC,68.0,191,,,30.0,113.0,,,3,0,0,0,0,0,0,LSU,,,,1.0,2.0,0.0,2.0,2.0,39.0,33.0,0.0,398.0,12.1,,,,,,,,,,,LSU,1.0,1.0,0.0,76.0,61.0,5.0,875.0,14.3,,,,,,51.0,100.0,3.0,1.0,153.0,,,,,,13.0,17.0,3.0,0.0,39.0,14.0,12.0,0.0,60.0,5.0,,,,,,1.0,1.0,0.0,-3.0,0.0,1.0,0.0,-3.0,LSU,,,,,,,,,,,,,,,,,,,,,,,,
Colbie Young,Wide Receiver,Georgia,SEC,77.0,218,4.49,,,,,,4,0,0,0,0,0,0,Georgia,,,,,,,,,45.0,26.0,1.0,358.0,13.8,,,,,,,,,,,Georgia,,,,34.0,11.0,2.0,149.0,13.5,,,,,,,,,,,,,,,,,,,,,57.0,47.0,5.0,563.0,12.0,,,,,,1.0,1.0,0.0,,,,,,Miami,Miami,,,,,,71.0,32.0,5.0,376.0,11.8,,,,,,,,,,,,,
Caleb Douglas,Wide Receiver,Texas Tech,Big 12,75.0,206,4.39,,31.5,126.0,,,4,0,0,0,0,0,0,Texas Tech,,,,,,,,,61.0,53.0,7.0,830.0,15.7,,,,,,,,,,,Texas Tech,,,,57.0,60.0,6.0,880.0,14.7,,,,,,-3.0,0.0,1.0,0.0,-3.0,,,,,,,,,,,34.0,11.0,1.0,133.0,12.1,,,,,,1.0,1.0,0.0,,,,,,Florida,Florida,,,,,,62.0,10.0,2.0,175.0,17.5,,,,,,,,,,,,,
