collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
3917315,103832,201,Oklahoma,Big 12,22,Arizona,2019,1,1,1,Kyler Murray,Quarterback,70,207,9.0,1.0,90.0
4040605,103504,194,Ohio State,Big Ten,25,San Francisco,2019,2,1,2,Nick Bosa,Defensive End,76,266,1.0,1.0,95.0
4040982,103509,333,Alabama,SEC,20,New York,2019,3,1,3,Quinnen Williams,Defensive Tackle,75,303,2.0,1.0,95.0
3728258,103514,228,Clemson,ACC,13,Las Vegas,2019,4,1,4,Clelin Ferrell,Defensive End,76,264,21.0,3.0,89.0
4035434,103507,99,LSU,SEC,27,Tampa Bay,2019,5,1,5,Devin White,Inside Linebacker,72,237,4.0,1.0,94.0
3917792,103572,150,Duke,ACC,19,New York,2019,6,1,6,Daniel Jones,Quarterback,77,221,59.0,6.0,80.0
3915239,103524,96,Kentucky,SEC,30,Jacksonville,2019,7,1,7,Josh Allen,Outside Linebacker,77,262,5.0,1.0,93.0
4036133,103545,2294,Iowa,Big Ten,8,Detroit,2019,8,1,8,T.J. Hockenson,Tight End,77,251,6.0,1.0,92.0
4039303,103505,248,Houston,American Athletic,2,Buffalo,2019,9,1,9,Ed Oliver,Defensive Tackle,74,287,3.0,2.0,94.0
4036261,103522,130,Michigan,Big Ten,23,Pittsburgh,2019,10,1,10,Devin Bush,Inside Linebacker,71,234,8.0,2.0,91.0
4040726,103513,333,Alabama,SEC,4,Cincinnati,2019,11,1,11,Jonah Williams,Offensive Tackle,77,302,17.0,2.0,90.0
4046523,103508,130,Michigan,Big Ten,9,Green Bay,2019,12,1,12,Rashan Gary,Defensive End,76,277,13.0,2.0,90.0
3728266,103516,228,Clemson,ACC,15,Miami,2019,13,1,13,Christian Wilkins,Defensive Tackle,75,315,7.0,3.0,92.0
3672833,103621,103,Boston College,ACC,1,Atlanta,2019,14,1,14,Chris Lindstrom,Offensive Guard,76,308,41.0,1.0,86.0
4040616,103560,194,Ohio State,Big Ten,28,Washington,2019,15,1,15,Dwayne Haskins,Quarterback,75,231,15.0,2.0,90.0
4035631,103525,52,Florida State,ACC,29,Carolina,2019,16,1,16,Brian Burns,Outside Linebacker,77,249,14.0,2.0,90.0
4035483,103510,228,Clemson,ACC,19,New York,2019,17,1,17,Dexter Lawrence,Defensive Tackle,77,342,26.0,5.0,89.0
3116729,103726,152,NC State,ACC,16,Minnesota,2019,18,1,18,Garrett Bradbury,Center,75,306,18.0,1.0,90.0
4035369,103519,344,Mississippi State,SEC,10,Tennessee,2019,19,1,19,Jeffery Simmons,Defensive Tackle,76,305,16.0,4.0,90.0
4036131,103528,2294,Iowa,Big Ten,7,Denver,2019,20,1,20,Noah Fant,Tight End,76,249,12.0,2.0,90.0
3915419,103927,120,Maryland,Big Ten,9,Green Bay,2019,21,1,21,Darnell Savage Jr.,Safety,71,198,28.0,2.0,88.0
3127264,103569,265,Washington State,Pac-12,21,Philadelphia,2019,22,1,22,Andre Dillard,Offensive Tackle,77,315,19.0,3.0,90.0
3131498,103749,2011,Alabama State,SWAC,34,Houston,2019,23,1,23,Tytus Howard,Offensive Tackle,77,322,47.0,6.0,84.0
4047365,103839,333,Alabama,SEC,13,Las Vegas,2019,24,1,24,Josh Jacobs,Running Back,70,220,23.0,1.0,89.0
4241372,103527,201,Oklahoma,Big 12,33,Baltimore,2019,25,1,25,Marquise Brown,Wide Receiver,69,166,11.0,1.0,90.0
3134690,103523,344,Mississippi State,SEC,28,Washington,2019,26,1,26,Montez Sweat,Defensive End,78,260,22.0,4.0,89.0
3728305,103531,344,Mississippi State,SEC,13,Las Vegas,2019,27,1,27,Johnathan Abram,Safety,71,205,20.0,1.0,90.0
3863182,103538,87,Notre Dame,FBS Independents,24,Los Angeles,2019,28,1,28,Jerry Tillery,Defensive Tackle,79,295,32.0,6.0,88.0
3116449,103766,2628,TCU,Big 12,26,Seattle,2019,29,1,29,L.J. Collier,Defensive End,74,283,38.0,5.0,86.0
3915163,103518,61,Georgia,SEC,19,New York,2019,30,1,30,Deandre Baker,Cornerback,71,193,36.0,4.0,87.0
3127304,103566,264,Washington,Pac-12,1,Atlanta,2019,31,1,31,Kaleb McGary,Offensive Tackle,79,317,73.0,8.0,76.0
4047839,103534,9,Arizona State,Pac-12,17,New England,2019,32,1,32,N'Keal Harry,Wide Receiver,74,228,33.0,2.0,87.0
4038999,103578,264,Washington,Pac-12,22,Arizona,2019,33,2,1,Byron Murphy,Cornerback,71,190,27.0,1.0,88.0
3910229,103745,218,Temple,American Athletic,11,Indianapolis,2019,34,2,2,Rock Ya-Sin,Cornerback,72,192,31.0,3.0,88.0
4034961,103515,57,Florida,SEC,30,Jacksonville,2019,35,2,3,Jawaan Taylor,Offensive Tackle,77,312,10.0,1.0,90.0
3126486,103567,2579,South Carolina,SEC,25,San Francisco,2019,36,2,4,Deebo Samuel,Wide Receiver,71,214,39.0,3.0,86.0
4047661,103511,145,Ole Miss,SEC,29,Carolina,2019,37,2,5,Greg Little,Offensive Tackle,77,310,78.0,9.0,75.0
3707061,103713,201,Oklahoma,Big 12,2,Buffalo,2019,38,2,6,Cody Ford,Offensive Tackle,76,329,25.0,4.0,89.0
3932886,103891,2117,Central Michigan,Mid-American,27,Tampa Bay,2019,39,2,7,Sean Bunting,Cornerback,72,195,62.0,10.0,79.0
4035458,103840,228,Clemson,ACC,13,Las Vegas,2019,40,2,8,Trayvon Mullen,Cornerback,74,199,75.0,11.0,76.0
3125082,103680,2306,Kansas State,Big 12,7,Denver,2019,41,2,9,Dalton Risner,Offensive Tackle,77,312,46.0,5.0,85.0
3924327,103589,142,Missouri,SEC,7,Denver,2019,42,2,10,Drew Lock,Quarterback,76,228,24.0,3.0,89.0
3124587,103751,62,Hawai'i,Mountain West,8,Detroit,2019,43,2,11,Jahlani Tavai,Inside Linebacker,74,250,93.0,3.0,72.0
3115485,103535,344,Mississippi State,SEC,9,Green Bay,2019,44,2,12,Elgton Jenkins,Center,77,310,51.0,3.0,83.0
4035286,103875,238,Vanderbilt,SEC,17,New England,2019,45,2,13,Joejuan Williams,Cornerback,76,211,50.0,5.0,84.0
4035437,103506,99,LSU,SEC,5,Cleveland,2019,46,2,14,Greedy Williams,Cornerback,74,185,29.0,2.0,88.0
4243244,103650,254,Utah,Pac-12,26,Seattle,2019,47,2,15,Marquise Blair,Safety,73,195,103.0,10.0,71.0
