collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
3122132.0,51534,245,Texas A&M,SEC,5,Cleveland,2017,1,1,1,Myles Garrett,Defensive End,77,272,1.0,1,95
3039707.0,51705,153,North Carolina,ACC,3,Chicago,2017,2,1,2,Mitchell Trubisky,Quarterback,74,222,27.0,1,89
3117258.0,51730,24,Stanford,Pac-12,25,San Francisco,2017,3,1,3,Solomon Thomas,Defensive Tackle,75,273,3.0,1,94
559752.0,51572,99,LSU,SEC,30,Jacksonville,2017,4,1,4,Leonard Fournette,Running Back,73,240,4.0,1,93
545923.0,51674,2711,Western Michigan,Mid-American,10,Tennessee,2017,5,1,5,Corey Davis,Wide Receiver,75,209,15.0,2,91
559592.0,52106,99,LSU,SEC,20,New York,2017,6,1,6,Jamal Adams,Safety,72,214,2.0,1,94
546644.0,51583,228,Clemson,ACC,24,Los Angeles,2017,7,1,7,Mike Williams,Wide Receiver,76,218,12.0,1,91
3117251.0,51575,24,Stanford,Pac-12,29,Carolina,2017,8,1,8,Christian McCaffrey,Running Back,71,202,9.0,2,92
550330.0,51811,264,Washington,Pac-12,4,Cincinnati,2017,9,1,9,John Ross,Wide Receiver,71,188,20.0,3,90
3139477.0,52092,2641,Texas Tech,Big 12,12,Kansas City,2017,10,1,10,Patrick Mahomes,Quarterback,74,225,44.0,3,85
3121421.0,52107,194,Ohio State,Big Ten,18,New Orleans,2017,11,1,11,Marshon Lattimore,Cornerback,72,193,6.0,1,92
3122840.0,51563,228,Clemson,ACC,34,Houston,2017,12,1,12,Deshaun Watson,Quarterback,75,221,28.0,2,88
536179.0,51931,218,Temple,American Athletic,22,Arizona,2017,13,1,13,Haason Reddick,Inside Linebacker,74,237,11.0,2,92
559724.0,51532,2633,Tennessee,SEC,21,Philadelphia,2017,14,1,14,Derek Barnett,Defensive End,75,259,13.0,2,91
3121415.0,52108,194,Ohio State,Big Ten,11,Indianapolis,2017,15,1,15,Malik Hooker,Safety,73,206,10.0,2,92
3126356.0,51719,333,Alabama,SEC,33,Baltimore,2017,16,1,16,Marlon Humphrey,Cornerback,72,197,23.0,3,89
551288.0,51744,333,Alabama,SEC,28,Washington,2017,17,1,17,Jonathan Allen,Defensive Tackle,75,286,5.0,2,93
3120347.0,51594,30,USC,Pac-12,10,Tennessee,2017,18,1,18,Adoree' Jackson,Cornerback,70,186,29.0,5,88
546370.0,51578,333,Alabama,SEC,27,Tampa Bay,2017,19,1,19,O.J. Howard,Tight End,78,251,7.0,1,92
-1039929.0,51774,254,Utah,Pac-12,7,Denver,2017,20,1,20,Garett Bolles,Offensive Tackle,77,297,34.0,3,87
551315.0,51992,57,Florida,SEC,8,Detroit,2017,21,1,21,Jarrad Davis,Inside Linebacker,73,238,25.0,3,89
549904.0,51991,142,Missouri,SEC,15,Miami,2017,22,1,22,Charles Harris,Outside Linebacker,75,253,18.0,1,90
550117.0,51667,145,Ole Miss,SEC,19,New York,2017,23,1,23,Evan Engram,Tight End,75,234,21.0,3,90
549810.0,52110,194,Ohio State,Big Ten,13,Las Vegas,2017,24,1,24,Gareon Conley,Cornerback,72,195,,34,30
3115962.0,51604,130,Michigan,Big Ten,5,Cleveland,2017,25,1,25,Jabrill Peppers,Safety,71,213,48.0,7,84
3152371.0,52005,26,UCLA,Pac-12,1,Atlanta,2017,26,1,26,Takkarist McKinley,Defensive End,74,250,24.0,3,89
545878.0,48609,99,LSU,SEC,2,Buffalo,2017,27,1,27,Tre'Davious White,Cornerback,71,192,26.0,4,89
546716.0,51689,130,Michigan,Big Ten,6,Dallas,2017,28,1,28,Taco Charlton,Defensive End,78,277,38.0,4,86
3123076.0,51793,2390,Miami,ACC,5,Cleveland,2017,29,1,29,David Njoku,Tight End,76,246,14.0,2,91
546866.0,52093,275,Wisconsin,Big Ten,23,Pittsburgh,2017,30,1,30,T.J. Watt,Outside Linebacker,77,252,37.0,3,86
551292.0,51554,333,Alabama,SEC,25,San Francisco,2017,31,1,31,Reuben Foster,Inside Linebacker,72,229,8.0,1,92
-1043790.0,51701,275,Wisconsin,Big Ten,18,New Orleans,2017,32,1,32,Ryan Ramczyk,Offensive Tackle,78,310,30.0,2,88
550323.0,52109,264,Washington,Pac-12,9,Green Bay,2017,33,2,1,Kevin King,Cornerback,75,200,22.0,2,89
-1000867.0,51562,333,Alabama,SEC,30,Jacksonville,2017,34,2,2,Cam Robinson,Offensive Tackle,78,322,19.0,1,90
3134681.0,51610,127,Michigan State,Big Ten,26,Seattle,2017,35,2,3,Malik McDowell,Defensive Tackle,78,295,41.0,3,86
3127287.0,52098,264,Washington,Pac-12,22,Arizona,2017,36,2,4,Budda Baker,Safety,70,195,39.0,5,86
4044154.0,51683,151,East Carolina,American Athletic,2,Buffalo,2017,37,2,5,Zay Jones,Wide Receiver,74,201,32.0,4,87
536455.0,51767,98,Western Kentucky,Conference USA,24,Los Angeles,2017,38,2,6,Forrest Lamp,Offensive Guard,76,309,16.0,1,90
535922.0,51546,57,Florida,SEC,20,New York,2017,39,2,7,Marcus Maye,Safety,72,210,36.0,3,87
3121427.0,51813,194,Ohio State,Big Ten,29,Carolina,2017,40,2,8,Curtis Samuel,Wide Receiver,71,196,42.0,5,86
3116593.0,51658,52,Florida State,ACC,16,Minnesota,2017,41,2,9,Dalvin Cook,Running Back,70,210,17.0,3,90
3122882.0,52113,254,Utah,Pac-12,18,New Orleans,2017,42,2,10,Marcus Williams,Safety,73,202,52.0,8,83
3127299.0,51720,264,Washington,Pac-12,21,Philadelphia,2017,43,2,11,Sidney Jones,Cornerback,72,186,65.0,10,79
3918639.0,51669,6,South Alabama,Sun Belt,14,Los Angeles,2017,44,2,12,Gerald Everett,Tight End,75,239,96.0,7,73
,51794,308,Ashland,GLIAC,3,Chicago,2017,45,2,13,Adam Shaheen,Tight End,79,278,58.0,4,80
3121660.0,52097,57,Florida,SEC,11,Indianapolis,2017,46,2,14,Quincy Wilson,Cornerback,74,211,31.0,6,88
545554.0,51643,248,Houston,American Athletic,33,Baltimore,2017,47,2,15,Tyus Bowser,Outside Linebacker,75,247,33.0,2,87
3116385.0,51784,201,Oklahoma,Big 12,4,Cincinnati,2017,48,2,16,Joe Mixon,Running Back,73,228,47.0,5,84
534454.0,51557,333,Alabama,SEC,28,Washington,2017,49,2,17,Ryan Anderson,Outside Linebacker,74,253,55.0,4,81
3895859.0,51605,245,Texas A&M,SEC,27,Tampa Bay,2017,50,2,18,Justin Evans,Safety,72,199,92.0,9,74
546814.0,51601,52,Florida State,ACC,7,Denver,2017,51,2,19,DeMarcus Walker,Defensive End,76,280,59.0,6,80
3129302.0,51681,87,Notre Dame,FBS Independents,5,Cleveland,2017,52,2,20,DeShone Kizer,Quarterback,76,233,54.0,4,82
559561.0,52114,57,Florida,SEC,8,Detroit,2017,53,2,21,Teez Tabor,Cornerback,73,199,61.0,9,80
3121423.0,51621,194,Ohio State,Big Ten,15,Miami,2017,54,2,22,Raekwon McMillan,Inside Linebacker,74,240,78.0,7,76
535761.0,51547,333,Alabama,SEC,19,New York,2017,55,2,23,Dalvin Tomlinson,Defensive Tackle,75,310,75.0,6,76
533251.0,52100,41,UConn,American Athletic,13,Las Vegas,2017,56,2,24,Obi Melifonwu,Safety,76,224,46.0,6,85
549972.0,51551,238,Vanderbilt,SEC,34,Houston,2017,57,2,25,Zach Cunningham,Inside Linebacker,76,234,53.0,4,82
-1016525.0,51556,99,LSU,SEC,26,Seattle,2017,58,2,26,Ethan Pocic,Center,78,310,81.0,2,75
536740.0,51728,222,Villanova,CAA,12,Kansas City,2017,59,2,27,Tanoh Kpassagnon,Defensive End,79,289,91.0,10,74
550668.0,52112,38,Colorado,Pac-12,6,Dallas,2017,60,2,28,Chidobe Awuzie,Cornerback,72,202,49.0,8,83
