collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
4685720,106308,333,Alabama,SEC,29,Carolina,2023,1,1,1,Bryce Young,Quarterback,70.0,204.0,1.0,1.0,96.0
4432577,106307,194,Ohio State,Big Ten,34,Houston,2023,2,1,2,C.J. Stroud,Quarterback,75.0,214.0,5.0,2.0,94.0
4685724,106305,333,Alabama,SEC,34,Houston,2023,3,1,3,Will Anderson Jr.,Outside Linebacker,76.0,253.0,3.0,1.0,95.0
4429084,106716,57,Florida,SEC,11,Indianapolis,2023,4,1,4,Anthony Richardson,Quarterback,76.0,244.0,10.0,3.0,91.0
4575431,106649,356,Illinois,Big Ten,26,Seattle,2023,5,1,5,Devon Witherspoon,Cornerback,72.0,181.0,7.0,1.0,93.0
4428991,106318,194,Ohio State,Big Ten,22,Arizona,2023,6,1,6,Paris Johnson Jr.,Offensive Tackle,78.0,313.0,12.0,2.0,91.0
4372533,106373,2641,Texas Tech,Big 12,13,Las Vegas,2023,7,1,7,Tyree Wilson,Defensive End,78.0,271.0,4.0,1.0,94.0
4430807,106312,251,Texas,Big 12,1,Atlanta,2023,8,1,8,Bijan Robinson,Running Back,71.0,215.0,2.0,1.0,96.0
4685759,106306,61,Georgia,SEC,21,Philadelphia,2023,9,1,9,Jalen Carter,Defensive Tackle,75.0,314.0,6.0,1.0,93.0
4426358,106727,2633,Tennessee,SEC,3,Chicago,2023,10,1,10,Darnell Wright,Offensive Tackle,77.0,333.0,18.0,4.0,90.0
4429100,106324,77,Northwestern,Big Ten,10,Tennessee,2023,11,1,11,Peter Skoronski,Offensive Tackle,76.0,313.0,9.0,1.0,92.0
4429795,106336,333,Alabama,SEC,8,Detroit,2023,12,1,12,Jahmyr Gibbs,Running Back,69.0,199.0,28.0,2.0,88.0
4686906,106643,2294,Iowa,Big Ten,9,Green Bay,2023,13,1,13,Lukas Van Ness,Defensive End,77.0,272.0,15.0,2.0,91.0
4428990,106402,61,Georgia,SEC,23,Pittsburgh,2023,14,1,14,Broderick Jones,Offensive Tackle,77.0,311.0,13.0,3.0,91.0
4361767,106349,66,Iowa State,Big 12,20,New York,2023,15,1,15,Will McDonald IV,Outside Linebacker,76.0,239.0,25.0,3.0,89.0
4429767,106657,344,Mississippi State,SEC,28,Washington,2023,16,1,16,Emmanuel Forbes,Cornerback,73.0,166.0,21.0,3.0,90.0
4686772,106497,2483,Oregon,Pac-12,17,New England,2023,17,1,17,Christian Gonzalez,Cornerback,73.0,197.0,8.0,2.0,92.0
4569465,106417,2294,Iowa,Big Ten,8,Detroit,2023,18,1,18,Jack Campbell,Inside Linebacker,77.0,249.0,58.0,2.0,80.0
4427673,106338,221,Pittsburgh,ACC,27,Tampa Bay,2023,19,1,19,Calijah Kancey,Defensive Tackle,73.0,281.0,20.0,2.0,90.0
4430878,106315,194,Ohio State,Big Ten,26,Seattle,2023,20,1,20,Jaxon Smith-Njigba,Wide Receiver,73.0,196.0,17.0,1.0,90.0
4429025,106378,2628,TCU,Big 12,24,Los Angeles,2023,21,1,22,Quentin Johnston,Wide Receiver,75.0,208.0,29.0,4.0,88.0
4429615,106371,103,Boston College,ACC,33,Baltimore,2023,22,1,23,Zay Flowers,Wide Receiver,69.0,182.0,22.0,2.0,89.0
4429205,106311,30,USC,Pac-12,16,Minnesota,2023,23,1,24,Jordan Addison,Wide Receiver,71.0,173.0,26.0,3.0,89.0
4428328,106717,120,Maryland,Big Ten,19,New York,2023,24,1,25,Deonte Banks,Cornerback,72.0,197.0,27.0,5.0,88.0
4385690,106460,254,Utah,Pac-12,2,Buffalo,2023,25,1,26,Dalton Kincaid,Tight End,76.0,246.0,14.0,1.0,91.0
4426347,106646,130,Michigan,Big Ten,6,Dallas,2023,26,1,27,Mazi Smith,Defensive Tackle,75.0,323.0,38.0,5.0,85.0
4692525,106443,201,Oklahoma,Big 12,30,Jacksonville,2023,27,1,28,Anton Harrison,Offensive Tackle,76.0,315.0,55.0,7.0,81.0
4428985,106314,228,Clemson,ACC,4,Cincinnati,2023,28,1,29,Myles Murphy,Defensive End,77.0,268.0,24.0,3.0,89.0
4428988,106317,228,Clemson,ACC,18,New Orleans,2023,29,1,30,Bryan Bresee,Defensive Tackle,78.0,298.0,36.0,4.0,85.0
4426331,106309,61,Georgia,SEC,21,Philadelphia,2023,30,1,31,Nolan Smith,Outside Linebacker,74.0,238.0,16.0,2.0,90.0
4612387,106651,2306,Kansas State,Big 12,12,Kansas City,2023,31,1,32,Felix Anudike-Uzomah,Defensive End,75.0,255.0,32.0,4.0,87.0
4426506,106327,213,Penn State,Big Ten,23,Pittsburgh,2023,32,2,1,Joey Porter Jr.,Cornerback,75.0,193.0,23.0,4.0,89.0
4361418,106325,96,Kentucky,SEC,10,Tennessee,2023,33,2,2,Will Levis,Quarterback,76.0,229.0,11.0,4.0,91.0
4430027,106361,2294,Iowa,Big Ten,8,Detroit,2023,34,2,3,Sam LaPorta,Tight End,75.0,245.0,43.0,5.0,84.0
4429086,106313,87,Notre Dame,FBS Independents,13,Las Vegas,2023,35,2,4,Michael Mayer,Tight End,77.0,249.0,19.0,2.0,90.0
4362474,106388,2628,TCU,Big 12,14,Los Angeles,2023,36,2,5,Steve Avila,Offensive Guard,76.0,332.0,34.0,1.0,86.0
4567226,106368,2,Auburn,SEC,26,Seattle,2023,37,2,6,Derick Hall,Outside Linebacker,75.0,254.0,66.0,7.0,79.0
4568510,106648,183,Syracuse,ACC,1,Atlanta,2023,38,2,7,Matthew Bergeron,Offensive Guard,77.0,318.0,52.0,5.0,82.0
4426485,106512,145,Ole Miss,SEC,29,Carolina,2023,39,2,8,Jonathan Mingo,Wide Receiver,74.0,220.0,37.0,5.0,85.0
4426457,106319,87,Notre Dame,FBS Independents,18,New Orleans,2023,40,2,9,Isaiah Foskey,Defensive End,77.0,264.0,77.0,9.0,75.0
4429111,106329,99,LSU,SEC,22,Arizona,2023,41,2,10,BJ Ojulari,Outside Linebacker,74.0,248.0,46.0,4.0,83.0
4428085,106381,204,Oregon State,Pac-12,9,Green Bay,2023,42,2,11,Luke Musgrave,Tight End,78.0,253.0,31.0,3.0,87.0
4428681,106756,275,Wisconsin,Big Ten,20,New York,2023,43,2,12,Joe Tippmann,Center,78.0,313.0,40.0,1.0,85.0
4360488,106827,2306,Kansas State,Big 12,11,Indianapolis,2023,44,2,13,Julius Brents,Cornerback,75.0,198.0,44.0,7.0,84.0
4692025,106507,333,Alabama,SEC,8,Detroit,2023,45,2,14,Brian Branch,Safety,72.0,190.0,30.0,1.0,88.0
4243493,106654,59,Georgia Tech,ACC,17,New England,2023,46,2,15,Keion White,Defensive End,77.0,285.0,45.0,5.0,84.0
4360378,106814,356,Illinois,Big Ten,28,Washington,2023,47,2,16,Jartavius Martin,Safety,71.0,194.0,72.0,4.0,77.0
4248545,106450,2449,North Dakota State,MVFC,27,Tampa Bay,2023,48,2,17,Cody Mauch,Offensive Tackle,77.0,302.0,53.0,6.0,81.0
4426694,106326,275,Wisconsin,Big Ten,23,Pittsburgh,2023,49,2,18,Keeanu Benton,Defensive Tackle,76.0,309.0,35.0,3.0,86.0
4362249,106435,127,Michigan State,Big Ten,9,Green Bay,2023,50,2,19,Jayden Reed,Wide Receiver,71.0,187.0,47.0,6.0,83.0
4570672,106322,2579,South Carolina,SEC,15,Miami,2023,51,2,20,Cam Smith,Cornerback,73.0,180.0,80.0,11.0,74.0
4426385,106439,26,UCLA,Pac-12,26,Seattle,2023,52,2,21,Zach Charbonnet,Running Back,72.0,214.0,64.0,3.0,79.0
4429014,106350,57,Florida,SEC,3,Chicago,2023,53,2,22,Gervon Dexter,Defensive Tackle,78.0,310.0,74.0,7.0,76.0
4431442,106505,30,USC,Pac-12,24,Los Angeles,2023,54,2,23,Tuli Tuipulotu,Outside Linebacker,75.0,266.0,81.0,10.0,74.0
4428331,106456,2567,SMU,American Athletic,12,Kansas City,2023,55,2,24,Rashee Rice,Wide Receiver,73.0,204.0,124.0,16.0,64.0
4426374,106332,2390,Miami,ACC,3,Chicago,2023,56,2,25,Tyrique Stevenson,Cornerback,72.0,198.0,41.0,6.0,84.0
4240771,106333,135,Minnesota,Big Ten,19,New York,2023,57,2,26,John Michael Schmitz,Center,76.0,301.0,48.0,2.0,83.0
