collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeamId,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
,47060,2444,Newberry,South Atlantic,16,Minnesota,2015,232,7,15,Edmond Robinson,Outside Linebacker,75.0,245,251.0,21.0,40.0
502538.0,47037,2459,Northern Illinois,Mid-American,12,Kansas City,2015,233,7,16,Da'Ron Brown,Wide Receiver,72.0,205,228.0,35.0,42.0
2567965.0,46956,2110,Central Arkansas,Southland,2,Buffalo,2015,234,7,17,Dez Lewis,Wide Receiver,76.0,214,147.0,22.0,56.0
517214.0,47142,99,LSU,SEC,34,Houston,2015,235,7,18,Kenny Hilliard,Running Back,72.0,226,333.0,32.0,31.0
516312.0,47148,2751,Wyoming,Mountain West,6,Dallas,2015,236,7,19,Mark Nzeocha,Outside Linebacker,74.0,232,339.0,27.0,31.0
-1005340.0,47357,103,Boston College,ACC,21,Philadelphia,2015,237,7,20,Brian Mihalik,Defensive End,81.0,302,,40.0,30.0
550507.0,47015,277,West Virginia,Big 12,4,Cincinnati,2015,238,7,21,Mario Alford,Wide Receiver,69.0,180,206.0,32.0,46.0
530356.0,46943,97,Louisville,ACC,23,Pittsburgh,2015,239,7,22,Gerod Holliman,Safety,72.0,218,134.0,12.0,60.0
-1032068.0,46921,2579,South Carolina,SEC,8,Detroit,2015,240,7,23,Corey Robinson,Offensive Tackle,79.0,324,112.0,13.0,68.0
511448.0,46912,2483,Oregon,Pac-12,5,Cleveland,2015,241,7,24,Ifo Ekpre-Olomu,Cornerback,69.0,192,103.0,15.0,69.0
502752.0,47327,2305,Kansas,Big 12,13,Las Vegas,2015,242,7,25,Dexter McDonald,Cornerback,73.0,203,,37.0,30.0
-1041397.0,47040,259,Virginia Tech,ACC,6,Dallas,2015,243,7,26,Laurence Gibson,Offensive Tackle,78.0,305,231.0,21.0,42.0
3043109.0,47016,57,Florida,SEC,25,San Francisco,2015,244,7,27,Trent Brown,Offensive Guard,81.0,355,207.0,14.0,46.0
2566041.0,46922,2729,William & Mary,CAA,10,Tennessee,2015,245,7,28,Tre McBride,Wide Receiver,72.0,210,113.0,18.0,67.0
547337.0,47286,251,Texas,Big 12,6,Dallas,2015,246,7,29,Geoff Swaim,Tight End,76.0,252,,32.0,30.0
503276.0,47035,276,Marshall,Conference USA,17,New England,2015,247,7,30,Darryl Roberts,Cornerback,71.0,187,226.0,29.0,43.0
,47317,204,Oregon State,Pac-12,26,Seattle,2015,248,7,31,Ryan Smith-Murphy,Safety,73.0,214,,35.0,30.0
-1031420.0,47481,23,San José State,Mountain West,1,Atlanta,2015,249,7,32,Akeem King,Safety,74.0,215,,58.0,30.0
500419.0,47228,77,Northwestern,Big Ten,7,Denver,2015,250,7,33,Trevor Siemian,Quarterback,75.0,220,,24.0,30.0
503373.0,47479,2655,Tulane,American Athletic,7,Denver,2015,251,7,34,Taurean Nixon,Cornerback,71.0,187,,58.0,30.0
503886.0,47354,197,Oklahoma State,Big 12,7,Denver,2015,252,7,35,Josh Furman,Linebacker,,210,,,
513127.0,46993,333,Alabama,SEC,17,New England,2015,253,7,36,Xzavier Dickson,Defensive End,76.0,260,184.0,16.0,49.0
515812.0,47086,2579,South Carolina,SEC,25,San Francisco,2015,254,7,37,Rory Anderson,Tight End,,244,,,
,48586,2369,Mars Hill,South Atlantic,11,Indianapolis,2015,255,7,38,Denzell Goode,Offensive Guard,,320,,,
501524.0,47062,97,Louisville,ACC,22,Arizona,2015,256,7,39,Gerald Christian,Tight End,75.0,244,253.0,15.0,39.0
